"Sample","Time","Label","UPneumo","LPneumo","EDA1","Cardio1","Move1","DE","Aux01"
1," 00:00.00"," --------",33736,38480,116650,41790,-9.9,1,47365
2," 00:00.03"," --------",33743,38567,116650,41648,-9.9,1,47208
3," 00:00.06"," --------",33751,38583,116644,41856,-9.9,1,47168
4," 00:00.10"," --------",33775,38591,116647,42168,-9.9,1,47168
5," 00:00.13"," --------",33823,38607,116653,42424,-9.9,1,47208
6," 00:00.16"," --------",33887,38631,116657,42552,-9.9,2,47272
7," 00:00.20"," --------",33960,38655,116656,42611,-9.9,2,47593
8," 00:00.23"," --------",34047,38687,116650,42618,-9.9,2,48170
9," 00:00.26"," --------",34084,38660,116647,42581,-9.9,2,48506
10," 00:00.30"," --------",34116,38612,116648,42458,-9.9,2,48480
11," 00:00.33"," --------",34087,38532,116640,42256,-9.9,1,48146
12," 00:00.36"," --------",34031,38479,116639,42106,-9.9,1,47866
13," 00:00.40"," --------",34036,38500,116643,42058,-9.9,1,47674
14," 00:00.43"," --------",34079,38543,116640,42042,-9.9,1,47573
15," 00:00.46"," --------",34132,38580,116636,42013,-9.9,1,47528
16," 00:00.50"," --------",34178,38635,116635,41974,-9.9,1,47622
17," 00:00.53"," --------",34207,38725,116646,41900,-9.9,1,47500
18," 00:00.56"," -------X",34219,38863,116637,41792,-9.9,1,47360
19," 00:00.60"," -------X",34233,38975,116634,41706,-9.9,1,47360
20," 00:00.63"," -------X",34239,39055,116638,41642,-9.9,1,47322
21," 00:00.66"," -------X",34217,39076,116639,41690,-9.9,1,47317
22," 00:00.70"," -------X",34193,39033,116635,42176,-9.9,1,47186
23," 00:00.73"," -------X",34207,38948,116628,42458,-9.9,1,47274
24," 00:00.76"," -------X",34207,38932,116634,42464,-9.9,1,47824
25," 00:00.80"," -------X",34212,38980,116640,42389,-9.9,1,48362
26," 00:00.83"," -------X",34279,39127,116646,42266,-9.9,2,48522
27," 00:00.86"," -------X",34335,39273,116639,42106,-9.9,2,48309
28," 00:00.90"," -------X",34351,39353,116636,42032,-9.9,1,48160
29," 00:00.93"," -------X",34351,39423,116629,42005,-9.9,1,47989
30," 00:00.96"," -------X",34351,39455,116624,41968,-9.9,1,47744
31," 00:01.00"," -------X",34437,39499,116619,41948,-9.9,1,47568
32," 00:01.03"," -------X",34562,39541,116620,41916,-9.9,1,47638
33," 00:01.06"," -------X",34661,39567,116615,41852,-9.9,1,47568
34," 00:01.10"," -------X",34655,39577,116610,41770,-9.9,1,47530
35," 00:01.13"," -------X",34596,39561,116607,41712,-9.9,1,47461
36," 00:01.16"," -------X",34479,39497,116599,41648,-9.9,1,47402
37," 00:01.19"," -------X",34249,39388,116617,41584,-9.9,1,47368
38," 00:01.23"," -------X",34084,39327,116631,41946,-9.9,1,47242
39," 00:01.26"," -------X",34052,39279,116620,42250,-9.9,1,47189
40," 00:01.30"," -------X",34089,39231,116621,42378,-9.9,1,47312
41," 00:01.33"," -------X",34135,39172,116618,42397,-9.9,1,48149
42," 00:01.36"," -------X",34105,39119,116609,42314,-9.9,1,48778
43," 00:01.39"," -------X",34084,39092,116604,42192,-9.9,1,48698
44," 00:01.43"," -------X",34084,39071,116609,42064,-9.9,1,48586
45," 00:01.46"," -------X",34116,39071,116620,41970,-9.9,1,48192
46," 00:01.50"," -------X",34088,39035,116617,42041,-9.9,1,47891
47," 00:01.53"," -------X",33986,38939,116616,42102,-9.9,1,47705
48," 00:01.56"," -------X",33845,38808,116611,42048,-9.9,1,47734
49," 00:01.60"," -------X",33753,38719,116618,41920,-9.9,2,47781
50," 00:01.63"," -------X",33657,38687,116622,41813,-9.9,3,47733
51," 00:01.66"," -------X",33508,38665,116623,41738,-9.9,5,47690
52," 00:01.70"," -------X",33247,38687,116617,41717,-9.9,5,47442
53," 00:01.73"," -------X",32905,38713,116620,41717,-9.9,4,47264
54," 00:01.76"," -------X",32671,38692,116624,41802,-9.9,4,47365
55," 00:01.80"," -------X",32537,38655,116619,42096,-9.9,4,47376
56," 00:01.83"," -------X",32527,38572,116623,42456,-9.9,4,47432
57," 00:01.86"," -------X",32628,38511,116631,42474,-9.9,6,47856
58," 00:01.89"," -------X",32703,38516,116627,42389,-9.9,7,48362
59," 00:01.93"," -------X",32815,38532,116617,42304,-9.9,8,48688
60," 00:01.96"," -------X",33065,38593,116627,42168,-9.9,8,48640
61," 00:02.00"," -------X",33336,38680,116640,42028,-9.9,10,48288
62," 00:02.03"," -------X",33487,38731,116634,41980,-9.9,11,48096
63," 00:02.06"," -------X",33608,38751,116637,41977,-9.9,13,47846
64," 00:02.10"," -------X",33673,38735,116654,41936,-9.9,15,47706
65," 00:02.13"," -------X",33679,38719,116658,41877,-9.9,18,47744
66," 00:02.16"," -------X",33673,38703,116659,41840,-9.9,20,47781
67," 00:02.20"," -------X",33655,38745,116661,41768,-9.9,23,47656
68," 00:02.23"," -------X",33631,38777,116669,41744,-9.9,26,47504
69," 00:02.26"," -------X",33620,38783,116670,41706,-9.9,29,47413
70," 00:02.29"," -------X",33588,38761,116668,41642,-9.9,33,47466
71," 00:02.33"," -------X",33535,38732,116678,41693,-9.9,36,47376
72," 00:02.36"," -------X",33503,38671,116679,42053,-9.9,39,47370
73," 00:02.39"," -------X",33503,38623,116664,42176,-9.9,42,47381
74," 00:02.43"," -------X",33497,38569,116668,42229,-9.9,45,47818
75," 00:02.46"," -------X",33441,38500,116679,42237,-9.9,49,48562
76," 00:02.50"," -------X",33333,38443,116692,42163,-9.9,52,48739
77," 00:02.53"," -------X",33179,38379,116704,42025,-9.9,57,48569
78," 00:02.56"," -------X",33045,38264,116685,41923,-9.9,60,48224
79," 00:02.60"," -------X",33007,38169,116696,41925,-9.9,63,47973
80," 00:02.63"," -------X",33017,38127,116700,41914,-9.9,66,47904
81," 00:02.66"," -------X",33044,38111,116701,41909,-9.9,68,47712
82," 00:02.70"," -------X",33073,38079,116710,41930,-9.9,72,47728
83," 00:02.73"," -------X",33119,38052,116706,41888,-9.9,74,47786
84," 00:02.76"," -------X",33167,38036,116698,41808,-9.9,76,47765
85," 00:02.79"," -------X",33204,38031,116697,41738,-9.9,78,47637
86," 00:02.83"," -------X",33212,38015,116692,41677,-9.9,79,47440
87," 00:02.86"," -------X",33231,37999,116688,41653,-9.9,80,47274
88," 00:02.89"," -------X",33231,37988,116697,41845,-9.9,82,47280
89," 00:02.93"," -------X",33220,37956,116694,42117,-9.9,83,47301
90," 00:02.96"," -------X",33185,37863,116701,42248,-9.9,85,47578
91," 00:03.00"," -------X",33199,37794,116709,42278,-9.9,86,48352
92," 00:03.03"," -------X",33227,37807,116713,42214,-9.9,87,48604
93," 00:03.06"," -------X",33247,37861,116695,42073,-9.9,87,48336
94," 00:03.10"," -------X",33247,37908,116694,42010,-9.9,87,48170
95," 00:03.13"," -------X",33247,37924,116707,41973,-9.9,88,48026
96," 00:03.16"," -------X",33247,37945,116706,41978,-9.9,88,47946
97," 00:03.20"," -------X",33292,38007,116688,41957,-9.9,87,47728
98," 00:03.23"," -------X",33348,38063,116685,41952,-9.9,85,47600
99," 00:03.26"," -------X",33369,38089,116700,41941,-9.9,85,47594
100," 00:03.29"," -------X",33401,38127,116716,41882,-9.9,87,47578
101," 00:03.33"," -------X",33455,38167,116706,41789,-9.9,87,47496
102," 00:03.36"," -------X",33487,38207,116702,41669,-9.9,88,47456
103," 00:03.39"," -------X",33497,38239,116701,41632,-9.9,89,47450
104," 00:03.43"," -------X",33524,38287,116701,41664,-9.9,89,47269
105," 00:03.46"," -------X",33561,38337,116711,41986,-9.9,90,47154
106," 00:03.50"," -------X",33634,38363,116716,42153,-9.9,90,47644
107," 00:03.53"," -------X",33682,38437,116709,42128,-9.9,90,48144
108," 00:03.56"," -------X",33720,38527,116715,42035,-9.9,91,48230
109," 00:03.60"," -------X",33759,38585,116725,41920,-9.9,93,48090
110," 00:03.63"," -------X",33801,38644,116722,41877,-9.9,94,47936
111," 00:03.66"," -------X",33807,38692,116716,41845,-9.9,95,47856
112," 00:03.70"," -------X",33833,38783,116710,41845,-9.9,97,47722
113," 00:03.73"," -------X",33913,38884,116699,41824,-9.9,97,47525
