score,ways,pmf,cdf,cdfContCor,odds,oddsLL05
-20,2481,.0008*,0.0019,0.0015,659.2,15.03
-19,2645,0.0012,0.0031,0.0025,402.9,14.37
-18,2808,0.0018,0.0048,0.0039,252.4,13.47
-17,2967,0.0026,0.0074,0.0061,161.9,12.31
-16,3123,0.0038,0.0112,0.0093,106.2,10.94
-15,3273,0.0053,0.0164,0.0139,71.17,10.8
-14,3418,0.0072,0.0235,0.0201,48.68,9.9
-13,3555,0.0097,0.0331,0.0286,33.94,8.1
-12,3685,0.0127,0.0455,0.0398,24.1,6.95
-11,3805,0.0162,0.0613,0.0543,17.4,6.03
-10,3916,0.0203,0.0809,0.0727,12.76,5.05
-9,4015,0.0248,0.1047,0.0953,9.49,4.14
-8,4105,0.0297,0.133,0.1226,7.15,3.4
-7,4183,0.0347,0.1659,0.1549,5.45,2.77
-6,4252,0.0398,0.2034,0.1923,4.2,2.25
-5,4309,0.0447,0.2452,0.2346,3.26,1.82
-4,4357,0.0491,0.291,0.2815,2.55,1.47
-3,4393,0.0528,0.3401,0.3323,2.01,1.18
-2,4420,0.0556,0.3919,0.3863,1.59,0.95
-1,4435,0.0574,0.4455,0.4426,1.26,0.76
0,4441,0.058,0.5,0.5,1,0.6
1,4435,0.0574,0.5545,0.5574,1.26,0.76
2,4420,0.0556,0.6081,0.6137,1.59,0.95
3,4393,0.0528,0.6599,0.6677,2.01,1.18
4,4357,0.0491,0.709,0.7185,2.55,1.47
5,4309,0.0447,0.7548,0.7654,3.26,1.82
6,4252,0.0398,0.7966,0.8077,4.2,2.25
7,4183,0.0347,0.8341,0.8451,5.45,2.77
8,4105,0.0297,0.867,0.8774,7.15,3.4
9,4015,0.0248,0.8953,0.9047,9.49,4.14
10,3916,0.0203,0.9191,0.9273,12.76,5.05
11,3805,0.0162,0.9387,0.9457,17.4,6.03
12,3685,0.0127,0.9545,0.9602,24.1,6.95
13,3555,0.0097,0.9669,0.9714,33.94,8.1
14,3418,0.0072,0.9765,0.9799,48.68,9.9
15,3273,0.0053,0.9836,0.9861,71.17,10.8
16,3123,0.0038,0.9888,0.9907,106.2,10.94
17,2967,0.0026,0.9926,0.9939,161.9,12.31
18,2808,0.0018,0.9952,0.9961,252.4,13.47
19,2645,0.0012,0.9969,0.9975,402.9,14.37
20,2481,.0008*,0.9981,0.9985,659.2,15.03
