score,ways,pmf,cdf,cdfContCor,odds,oddsLL05
-27,25602,.0008*,0.0029,0.0025,401.4,26.27
-26,26128,0.0011,0.004,0.0034,290,24.39
-25,26638,0.0014,0.0054,0.0047,211.8,22.26
-24,27133,0.0019,0.0073,0.0064,156.3,22.92
-23,27610,0.0024,0.0097,0.0085,116.5,20.21
-22,28070,0.0031,0.0128,0.0113,87.72,19.23
-21,28510,0.0039,0.0167,0.0148,66.68,16.45
-20,28931,0.0049,0.0215,0.0192,51.17,14.88
-19,29330,0.006,0.0274,0.0246,39.62,13.13
-18,29710,0.0073,0.0347,0.0313,30.95,11.81
-17,30068,0.0088,0.0434,0.0394,24.38,10.08
-16,30407,0.0106,0.0538,0.0491,19.36,8.74
-15,30724,0.0125,0.066,0.0607,15.49,7.62
-14,31022,0.0145,0.0802,0.0742,12.48,6.47
-13,31298,0.0168,0.0965,0.0899,10.12,5.54
-12,31555,0.0192,0.1151,0.1079,8.27,4.76
-11,31790,0.0217,0.136,0.1284,6.79,4.06
-10,32006,0.0242,0.1594,0.1514,5.61,3.48
-9,32200,0.0268,0.1851,0.177,4.65,2.97
-8,32375,0.0293,0.2131,0.2051,3.88,2.54
-7,32528,0.0318,0.2434,0.2356,3.24,2.16
-6,32662,0.034,0.2757,0.2685,2.72,1.85
-5,32774,0.0361,0.31,0.3035,2.3,1.58
-4,32867,0.0378,0.3459,0.3404,1.94,1.35
-3,32938,0.0392,0.3832,0.3789,1.64,1.15
-2,32990,0.0403,0.4215,0.4185,1.39,0.98
-1,33020,0.0409,0.4606,0.4591,1.18,0.83
0,33031,0.0411,0.5,0.5,1,0.71
1,33020,0.0409,0.5394,0.5409,1.18,0.83
2,32990,0.0403,0.5785,0.5815,1.39,0.98
3,32938,0.0392,0.6168,0.6211,1.64,1.15
4,32867,0.0378,0.6541,0.6596,1.94,1.35
5,32774,0.0361,0.69,0.6965,2.3,1.58
6,32662,0.034,0.7243,0.7315,2.72,1.85
7,32528,0.0318,0.7566,0.7644,3.24,2.16
8,32375,0.0293,0.7869,0.7949,3.88,2.54
9,32200,0.0268,0.8149,0.823,4.65,2.97
10,32006,0.0242,0.8406,0.8486,5.61,3.48
11,31790,0.0217,0.864,0.8716,6.79,4.06
12,31555,0.0192,0.8849,0.8921,8.27,4.76
13,31298,0.0168,0.9035,0.9101,10.12,5.54
14,31022,0.0145,0.9198,0.9258,12.48,6.47
15,30724,0.0125,0.934,0.9393,15.49,7.62
16,30407,0.0106,0.9462,0.9509,19.36,8.74
17,30068,0.0088,0.9566,0.9606,24.38,10.08
18,29710,0.0073,0.9653,0.9687,30.95,11.81
19,29330,0.006,0.9726,0.9754,39.62,13.13
20,28931,0.0049,0.9785,0.9808,51.17,14.88
21,28510,0.0039,0.9834,0.9852,66.68,16.45
22,28070,0.0031,0.9872,0.9887,87.72,19.23
23,27610,0.0024,0.9903,0.9915,116.5,20.21
24,27133,0.0019,0.9927,0.9936,156.3,22.92
25,26638,0.0014,0.9946,0.9953,211.8,22.26
26,26128,0.0011,0.996,0.9966,290,24.39
27,25602,.0008*,0.9971,0.9975,401.4,26.27
