score,ways,pmf,cdf,"Cdf
ContCor",odds,odds 2RQs,odds 3RQs,odds 4RQs,"odds
LL05",odds2RQLL05,odds3RQLL05,odds4RQLL05
-15,161,.0005*,0.0009,0.0007,1517,38.94,11.49,6.24,7.71,5.36,3.32,2.24
-14,200,0.0011,0.002,0.0015,682.2,26.12,8.8,5.11,7.56,4.48,2.84,1.98
-13,243,0.0021,0.0041,0.003,328.4,18.12,6.9,4.26,7.27,4,2.42,1.73
-12,287,0.0037,0.0077,0.0059,168,12.96,5.52,3.6,6.79,3.44,2.07,1.51
-11,333,0.0062,0.0139,0.0109,90.88,9.53,4.5,3.09,6.1,2.91,1.81,1.35
-10,378,0.0099,0.0236,0.019,51.67,7.19,3.73,2.68,5.22,2.5,1.56,1.2
-9,423,0.015,0.0383,0.0315,30.72,5.54,3.13,2.35,4.84,2.08,1.37,1.07
-8,465,0.0216,0.0592,0.05,19.01,4.36,2.67,2.09,4.11,1.76,1.19,0.96
-7,505,0.0297,0.0875,0.0758,12.19,3.49,2.3,1.87,3.3,1.49,1.05,0.87
-6,540,0.0389,0.1242,0.1104,8.06,2.84,2.01,1.69,2.66,1.26,0.93,0.79
-5,571,0.0489,0.1697,0.1546,5.47,2.34,1.76,1.53,2.06,1.06,0.83,0.72
-4,595,0.0588,0.2236,0.2087,3.79,1.95,1.56,1.4,1.58,0.9,0.74,0.66
-3,615,0.0678,0.2852,0.272,2.68,1.64,1.39,1.28,1.19,0.77,0.66,0.61
-2,628,0.075,0.3531,0.3432,1.91,1.38,1.24,1.18,0.89,0.66,0.59,0.56
-1,637,0.0797,0.4254,0.4201,1.38,1.18,1.11,1.08,0.65,0.56,0.53,0.52
0,639,0.0814,0.5,0.5,1,1,1,1,0.48,0.48,0.48,0.48
1,637,0.0797,0.5746,0.5799,1.38,1.91,2.63,3.63,0.65,0.89,1.18,1.52
2,628,0.075,0.6469,0.6568,1.91,3.66,7.01,13.41,0.89,1.54,2.45,3.52
3,615,0.0678,0.7148,0.728,2.68,7.16,19.17,51.3,1.19,2.5,4.13,5.21
4,595,0.0588,0.7764,0.7913,3.79,14.38,54.52,206.7,1.58,3.68,5.31,6.97
5,571,0.0489,0.8303,0.8454,5.47,29.89,163.4,893.3,2.06,4.78,6.77,7.62
6,540,0.0389,0.8758,0.8896,8.06,64.9,522.8,4212,2.66,5.6,7.47,7.8
7,505,0.0297,0.9125,0.9242,12.19,148.5,1810,22060,3.3,6.68,7.73,7.84
8,465,0.0216,0.9408,0.95,19.01,361.4,6870,130600,4.11,7.32,7.82,7.84
9,423,0.015,0.9617,0.9685,30.72,943.7,28990,890600,4.84,7.64,7.84,7.85
10,378,0.0099,0.9764,0.981,51.67,2669,137900,7126000,5.22,7.77,7.84,7.85
11,333,0.0062,0.9861,0.9891,90.88,8259,750600,6.82E+07,6.1,7.82,7.85,7.85
12,287,0.0037,0.9923,0.9941,168,28240,4745000,7.97E+08,6.79,7.84,7.85,7.85
13,243,0.0021,0.9959,0.997,328.4,107800,3.54E+07,1.16E+10,7.27,7.84,7.85,7.85
14,200,0.0011,0.998,0.9985,682.2,465300,3.17E+08,2.17E+11,7.56,7.85,7.85,7.85
15,161,.0005*,0.9991,0.9993,1517,2.30E+06,3.49E+09,5.29E+12,7.71,7.85,7.85,7.85
