permutationScore,n,nRev,nSmooth,pmf,cdf,cdfContCor
-72,1,1,1,2e-7,2e-7,1e-9
-71,1,1,1,2e-7,4e-7,3e-7
-70,2,1,1.5,3e-7,7e-7,5.5e-7
-69,2,1,1.5,3e-7,1e-6,8.5e-7
-68,1,2,1.5,3e-7,1.3e-6,1.15e-6
-67,4,1,2.5,5e-7,1.8e-6,1.55e-6
-66,1,2,1.5,3e-7,2.1e-6,1.95e-6
-65,4,4,4,8e-7,2.9e-6,2.5e-6
-64,7,4,5.5,1.1e-6,4e-6,3.45e-6
-63,5,7,6,1.2e-6,5.2e-6,4.6e-6
-62,7,5,6,1.2e-6,6.4e-6,5.8e-6
-61,14,7,10.5,2.1e-6,8.5e-6,7.45e-6
-60,17,14,15.5,3.1e-6,1.16e-5,1.005e-5
-59,25,17,21,4.2e-6,1.58e-5,1.37e-5
-58,38,25,31.5,6.3e-6,2.21e-5,1.895e-5
-57,57,38,47.5,9.5e-6,3.16e-5,2.685e-5
-56,77,57,67,1.34e-5,4.5e-5,3.83e-5
-55,106,77,91.5,1.83e-5,6.33e-5,5.415e-5
-54,125,106,115.5,2.31e-5,8.64e-5,7.485e-5
-53,154,125,139.5,2.79e-5,1.143e-4,1.0035e-4
-52,221,154,187.5,3.75e-5,1.518e-4,1.3305e-4
-51,305,221,263,5.26e-5,2.044e-4,1.781e-4
-50,380,305,342.5,6.85e-5,2.729e-4,2.3865e-4
-49,520,380,450,8.9999e-5,3.62899e-4,3.179e-4
-48,641,520,580.5,1.16099e-4,4.78998e-4,4.20949e-4
-47,790,641,715.5,1.43099e-4,6.22097e-4,5.50547e-4
-46,973,790,881.5,1.76299e-4,7.98396e-4,7.10247e-4
-45,1284,973,1128.5,2.25699e-4,0.001024095,9.11246e-4
-44,1565,1284,1424.5,2.84898e-4,0.001308993,0.001166544
-43,1940,1565,1752.5,3.50498e-4,0.001659491,0.001484242
-42,2382,1940,2161,4.32197e-4,0.002091688,0.00187559
-41,2874,2382,2628,5.25597e-4,0.002617285,0.002354486
-40,3498,2874,3186,6.37196e-4,0.003254481,0.002935883
-39,4249,3498,3873.5,7.74695e-4,0.004029176,0.003641828
-38,5161,4249,4705,9.40994e-4,0.00497017,0.004499673
-37,6078,5161,5619.5,0.001123893,0.006094063,0.005532116
-36,7310,6078,6694,0.001338791,0.007432854,0.006763458
-35,8641,7310,7975.5,0.001595089,0.009027943,0.008230398
-34,10019,8641,9330,0.001865988,0.010893931,0.009960937
-33,11964,10019,10991.5,0.002198285,0.013092216,0.011993074
-32,13814,11964,12889,0.002577783,0.015669999,0.014381108
-31,16149,13814,14981.5,0.00299628,0.018666279,0.017168139
-30,18366,16149,17257.5,0.003451477,0.022117756,0.020392017
-29,20935,18366,19650.5,0.003930074,0.02604783,0.024082793
-28,24121,20935,22528,0.00450557,0.0305534,0.028300615
-27,27120,24121,25620.5,0.005124066,0.035677466,0.033115433
-26,30754,27120,28937,0.005787362,0.041464828,0.038571147
-25,34448,30754,32601,0.006520157,0.047984985,0.044724906
-24,38581,34448,36514.5,0.007302852,0.055287837,0.051636411
-23,43052,38581,40816.5,0.008163246,0.063451083,0.05936946
-22,47256,43052,45154,0.00903074,0.072481823,0.067966453
-21,52030,47256,49643,0.009928534,0.082410357,0.07744609
-20,56773,52030,54401.5,0.010880228,0.093290585,0.087850471
-19,62012,56773,59392.5,0.011878422,0.105169007,0.099229796
-18,67608,62012,64810,0.012961914,0.118130921,0.111649964
-17,73176,67608,70392,0.014078307,0.132209228,0.125170075
-16,78268,73176,75722,0.0151443,0.147353528,0.139781378
-15,83968,78268,81118,0.016223493,0.163577021,0.155465274
-14,89472,83968,86720,0.017343886,0.180920907,0.172248964
-13,94725,89472,92098.5,0.018419578,0.199340485,0.190130696
-12,100081,94725,97403,0.019480471,0.218820956,0.209080721
-11,105168,100081,102624.5,0.020524765,0.239345721,0.229083339
-10,110061,105168,107614.5,0.021522758,0.260868479,0.2501071
-9,114205,110061,112133,0.022426452,0.283294931,0.272081705
-8,118727,114205,116466,0.023293046,0.306587977,0.294941454
-7,122001,118727,120364,0.024072641,0.330660618,0.318624298
-6,125674,122001,123837.5,0.024767337,0.355427955,0.343044287
-5,128616,125674,127145,0.025428832,0.380856787,0.368142371
-4,131019,128616,129817.5,0.025963329,0.406820116,0.393838451
-3,132412,131019,131715.5,0.026342926,0.433163042,0.419991579
-2,133680,132412,133046,0.026609024,0.459772066,0.446467554
-1,134301,133680,133990.5,0.026797923,0.486569989,0.473171027
0,134301,134301,134301,0.026860023,0.513430012,0.500000001
1,133680,134301,133990.5,0.026797923,0.540227935,0.47317102600000005
2,132412,133680,133046,0.026609024,0.566836959,0.44646755299999996
