"","permutationScore","n","nRev","nSmooth","pmf","cdf","cdfContCor"
"1",-70,1,1,1,2e-07,2e-07,0
"2",-69,1,1,1,2e-07,4e-07,3e-07
"3",-68,1,1,1,2e-07,6e-07,5e-07
"4",-67,2,1,1.5,3e-07,9e-07,7.5e-07
"5",-66,3,3,3,6e-07,1.5e-06,1.2e-06
"6",-65,2,1,1.5,3e-07,1.8e-06,1.65e-06
"7",-64,3,3,3,6e-07,2.4e-06,2.1e-06
"8",-63,7,8,7.5,1.5e-06,3.9e-06,3.15e-06
"9",-62,7,14,10.5,2.1e-06,6e-06,4.95e-06
"10",-61,11,16,13.5,2.7e-06,8.7e-06,7.35e-06
"11",-60,17,16,16.5,3.3e-06,1.2e-05,1.035e-05
"12",-59,24,26,25,5e-06,1.7e-05,1.45e-05
"13",-58,30,40,35,7e-06,2.4e-05,2.05e-05
"14",-57,34,51,42.5,8.5e-06,3.25e-05,2.825e-05
"15",-56,50,64,57,1.14e-05,4.39e-05,3.82e-05
"16",-55,83,88,85.5,1.71e-05,6.1e-05,5.245e-05
"17",-54,113,122,117.5,2.35e-05,8.45e-05,7.275e-05
"18",-53,132,130,131,2.62e-05,0.0001107,9.76e-05
"19",-52,179,191,185,3.7e-05,0.0001477,0.0001292
"20",-51,228,261,244.5,4.89e-05,0.0001966,0.00017215
"21",-50,328,313,320.5,6.41e-05,0.0002607,0.00022865
"22",-49,422,411,416.5,8.33e-05,0.000344,0.00030235
"23",-48,569,538,553.5,0.0001107,0.0004547,0.00039935
"24",-47,680,730,705,0.000141,0.0005957,0.0005252
"25",-46,918,885,901.5,0.0001803,0.000776,0.00068585
"26",-45,1143,1212,1177.5,0.0002355,0.0010115,0.00089375
"27",-44,1415,1404,1409.5,0.0002819,0.0012934,0.00115245
"28",-43,1778,1675,1726.5,0.0003453,0.0016387,0.00146605
"29",-42,2178,2137,2157.5,0.0004315,0.0020702,0.00185445
"30",-41,2664,2614,2639,0.0005278,0.002598,0.0023341
"31",-40,3229,3123,3176,0.000635199,0.003233199,0.0029155995
"32",-39,3929,3957,3943,0.000788599,0.004021798,0.0036274985
"33",-38,4598,4647,4622.5,0.000924499,0.004946297,0.0044840475
"34",-37,5627,5642,5634.5,0.001126899,0.006073196,0.0055097465
"35",-36,6779,6740,6759.5,0.001351899,0.007425095,0.0067491455
"36",-35,7878,7898,7888,0.001577599,0.009002694,0.0082138945
"37",-34,9395,9258,9326.5,0.001865299,0.010867993,0.0099353435
"38",-33,10931,11139,11035,0.002206998,0.013074991,0.011971492
"39",-32,12751,12664,12707.5,0.002541498,0.015616489,0.01434574
"40",-31,14988,15085,15036.5,0.003007298,0.018623787,0.017120138
"41",-30,17188,17049,17118.5,0.003423697,0.022047484,0.0203356355
"42",-29,19627,19648,19637.5,0.003927497,0.025974981,0.0240112325
"43",-28,22615,22385,22500,0.004499996,0.030474977,0.028224979
"44",-27,26240,25676,25958,0.005191596,0.035666573,0.033070775
"45",-26,28717,28966,28841.5,0.005768295,0.041434868,0.0385507205
"46",-25,32859,32484,32671.5,0.006534295,0.047969163,0.0447020155
"47",-24,36213,35910,36061.5,0.007212294,0.055181457,0.05157531
"48",-23,40639,40640,40639.5,0.008127893,0.06330935,0.0592454035
"49",-22,45021,44783,44902,0.008980393,0.072289743,0.0677995465
"50",-21,49572,49590,49581,0.009916192,0.082205935,0.077247839
"51",-20,54736,54308,54522,0.010904391,0.093110326,0.0876581305
"52",-19,59580,59725,59652.5,0.01193049,0.105040816,0.099075571
"53",-18,64453,65154,64803.5,0.01296069,0.118001506,0.111521161
"54",-17,69998,69797,69897.5,0.013979489,0.131980995,0.1249912505
"55",-16,76003,75942,75972.5,0.015194488,0.147175483,0.139578239
"56",-15,81452,80947,81199.5,0.016239887,0.16341537,0.1552954265
"57",-14,86741,86754,86747.5,0.017349486,0.180764856,0.172090113
"58",-13,91781,91806,91793.5,0.018358685,0.199123541,0.1899441985
"59",-12,97186,97414,97300,0.019459984,0.218583525,0.208853533
"60",-11,102850,102336,102593,0.020518584,0.239102109,0.228842817
"61",-10,107310,107545,107427.5,0.021485483,0.260587592,0.2498448505
"62",-9,112042,111612,111827,0.022365382,0.282952974,0.271770283
"63",-8,117033,117032,117032.5,0.023406481,0.306359455,0.2946562145
"64",-7,120572,121234,120903,0.024180581,0.330540036,0.3184497455
"65",-6,124277,123622,123949.5,0.02478988,0.355329916,0.342934976
"66",-5,127490,126762,127126,0.02542518,0.380755096,0.368042506
"67",-4,130486,129819,130152.5,0.026030479,0.406785575,0.3937703355
"68",-3,131785,132133,131959,0.026391779,0.433177354,0.4199814645
"69",-2,133124,132779,132951.5,0.026590279,0.459767633,0.4464724935
"70",-1,134115,133728,133921.5,0.026784279,0.486551912,0.4731597725
"71",0,134481,134481,134481,0.026896178,0.51344809,0.500000001
"72",1,133728,134115,133921.5,0.026784279,0.540232369,0.4731597705
"73",2,132779,133124,132951.5,0.026590279,0.566822648,0.4464724915
"74",3,132133,131785,131959,0.026391779,0.593214427,0.4199814625
"75",4,129819,130486,130152.5,0.026030479,0.619244906,0.3937703335
"76",5,126762,127490,127126,0.02542518,0.644670086,0.368042504
"77",6,123622,124277,123949.5,0.02478988,0.669459966,0.342934974
"78",7,121234,120572,120903,0.024180581,0.693640547,0.3184497435
"79",8,117032,117033,117032.5,0.023406481,0.717047028,0.2946562125
"80",9,111612,112042,111827,0.022365382,0.73941241,0.271770281
"81",10,107545,107310,107427.5,0.021485483,0.760897893,0.2498448485
"82",11,102336,102850,102593,0.020518584,0.781416477,0.228842815
"83",12,97414,97186,97300,0.019459984,0.800876461,0.208853531
"84",13,91806,91781,91793.5,0.018358685,0.819235146,0.1899441965
"85",14,86754,86741,86747.5,0.017349486,0.836584632,0.172090111
"86",15,80947,81452,81199.5,0.016239887,0.852824519,0.1552954245
"87",16,75942,76003,75972.5,0.015194488,0.868019007,0.139578237
"88",17,69797,69998,69897.5,0.013979489,0.881998496,0.1249912485
"89",18,65154,64453,64803.5,0.01296069,0.894959186,0.111521159
"90",19,59725,59580,59652.5,0.01193049,0.906889676,0.099075569
"91",20,54308,54736,54522,0.010904391,0.917794067,0.0876581285
"92",21,49590,49572,49581,0.009916192,0.927710259,0.077247837
"93",22,44783,45021,44902,0.008980393,0.936690652,0.0677995444999999
"94",23,40640,40639,40639.5,0.008127893,0.944818545,0.0592454015
"95",24,35910,36213,36061.5,0.007212294,0.952030839,0.0515753080000001
"96",25,32484,32859,32671.5,0.006534295,0.958565134,0.0447020135
"97",26,28966,28717,28841.5,0.005768295,0.964333429,0.0385507185
"98",27,25676,26240,25958,0.005191596,0.969525025,0.0330707729999999
"99",28,22385,22615,22500,0.004499996,0.974025021,0.028224977
"100",29,19648,19627,19637.5,0.003927497,0.977952518,0.0240112305
"101",30,17049,17188,17118.5,0.003423697,0.981376215,0.0203356335
"102",31,15085,14988,15036.5,0.003007298,0.984383513,0.017120136
"103",32,12664,12751,12707.5,0.002541498,0.986925011,0.0143457380000001
"104",33,11139,10931,11035,0.002206998,0.989132009,0.0119714900000001
"105",34,9258,9395,9326.5,0.001865299,0.990997308,0.00993534150000008
"106",35,7898,7878,7888,0.001577599,0.992574907,0.00821389250000004
"107",36,6740,6779,6759.5,0.001351899,0.993926806,0.0067491435
"108",37,5642,5627,5634.5,0.001126899,0.995053705,0.00550974449999997
"109",38,4647,4598,4622.5,0.000924499,0.995978204,0.00448404549999992
"110",39,3957,3929,3943,0.000788599,0.996766803,0.00362749650000005
"111",40,3123,3229,3176,0.000635199,0.997402002,0.00291559750000003
"112",41,2614,2664,2639,0.0005278,0.997929802,0.00233409799999995
"113",42,2137,2178,2157.5,0.0004315,0.998361302,0.00185444800000001
"114",43,1675,1778,1726.5,0.0003453,0.998706602,0.00146604799999994
"115",44,1404,1415,1409.5,0.0002819,0.998988502,0.00115244800000003
"116",45,1212,1143,1177.5,0.0002355,0.999224002,0.000893747999999972
"117",46,885,918,901.5,0.0001803,0.999404302,0.000685848000000044
"118",47,730,680,705,0.000141,0.999545302,0.00052519800000006
"119",48,538,569,553.5,0.0001107,0.999656002,0.000399347999999966
"120",49,411,422,416.5,8.33e-05,0.999739302,0.000302347999999952
"121",50,313,328,320.5,6.41e-05,0.999803402,0.000228647999999998
"122",51,261,228,244.5,4.89e-05,0.999852302,0.000172148000000094
"123",52,191,179,185,3.7e-05,0.999889302,0.000129197999999997
"124",53,130,132,131,2.62e-05,0.999915502,9.75979999999765e-05
"125",54,122,113,117.5,2.35e-05,0.999939002,7.27480000000114e-05
"126",55,88,83,85.5,1.71e-05,0.999956102,5.24480000000382e-05
"127",56,64,50,57,1.14e-05,0.999967502,3.81980000000448e-05
"128",57,51,34,42.5,8.5e-06,0.999976002,2.82480000000085e-05
"129",58,40,30,35,7e-06,0.999983002,2.04980000000354e-05
"130",59,26,24,25,5e-06,0.999988002,1.44979999999739e-05
"131",60,16,17,16.5,3.3e-06,0.999991302,1.03479999999934e-05
"132",61,16,11,13.5,2.7e-06,0.999994002,7.34800000001812e-06
"133",62,14,7,10.5,2.1e-06,0.999996102,4.9479999999491e-06
"134",63,8,7,7.5,1.5e-06,0.999997602,3.14800000000837e-06
"135",64,3,3,3,6e-07,0.999998202,2.09799999995042e-06
"136",65,1,2,1.5,3e-07,0.999998502,1.64800000002074e-06
"137",66,3,3,3,6e-07,0.999999102,1.19800000009107e-06
"138",67,1,2,1.5,3e-07,0.999999402,7.47999999939353e-07
"139",68,1,1,1,2e-07,0.999999602,4.97999999904408e-07
"140",69,1,1,1,2e-07,0.999999802,2.98000000009679e-07
"141",70,1,1,1,2e-07,1.000000002,9.80000000039283e-08
