chartName,sensorName,C3,R4,C5,R6,C7,R8,C9
01A,UPneumo,13.88,12.92,14.88,14.41,15.83,14.54,13.81
01A,LPneumo,5.78,4.86,6.37,6.2,7.17,6.71,6.57
01A,AutoEDA,0.48,0.63,0.42,0.38,0.28,0.23,0.3
01A,Cardio,,0.46,,0.41,,0.65,
02A,UPneumo,8.02,8.31,8.42,9.61,8.59,9.67,10.45
02A,LPneumo,12.47,11.56,12.88,10.63,10.12,10.09,11.18
02A,AutoEDA,0.32,0.66,0.49,0.63,0.74,0.36,0.59
02A,Cardio,,0.96,,0.46,0.61,0.52,
03A,UPneumo,6.67,8.01,8.66,8.57,8.36,7.82,8.33
03A,LPneumo,7.33,10.2,8.44,8.16,10.37,9.06,10.65
03A,AutoEDA,0.04,1.14,0.09,0.08,0.06,0.14,0.37
03A,Cardio,0.16,0.34,0.03,0.29,0.03,,
