Sample,Time,Label,UPneumo,LPneumo,EDA1,Cardio1,Move1,DE,Aux02
1,00:00.00,,52827.0,38991.0,119821.0,40835.0,,1.0,86.0
2,00:00.03,,52703.0,38904.0,119807.0,40684.0,,1.0,89.0
3,00:00.06,,52626.0,38831.0,119811.0,40716.0,,1.0,92.0
4,00:00.10,,52585.0,38788.0,119811.0,40741.0,,1.0,90.0
5,00:00.13,,52543.0,38772.0,119815.0,40704.0,,1.0,80.0
6,00:00.16,,52516.0,38761.0,119823.0,40677.0,,1.0,85.0
7,00:00.20,,52492.0,38767.0,119832.0,40536.0,,2.0,88.0
8,00:00.23,,52472.0,38757.0,119841.0,40352.0,,3.0,86.0
9,00:00.26,,52475.0,38741.0,119833.0,40182.0,,4.0,80.0
10,00:00.30,,52443.0,38674.0,119840.0,40467.0,,5.0,83.0
11,00:00.33,,52431.0,38585.0,119845.0,41205.0,,7.0,85.0
12,00:00.36,,52431.0,38543.0,119841.0,41232.0,,8.0,80.0
13,00:00.40,,52431.0,38511.0,119836.0,41317.0,,9.0,80.0
14,00:00.43,,52449.0,38519.0,119833.0,41117.0,,10.0,82.0
15,00:00.46,,52511.0,38543.0,119831.0,40906.0,,11.0,85.0
16,00:00.50,,52559.0,38553.0,119832.0,40720.0,,11.0,90.0
17,00:00.53,,52591.0,38548.0,119839.0,40586.0,,13.0,80.0
18,00:00.56,,52577.0,38543.0,119838.0,40541.0,,15.0,90.0
19,00:00.60,,52532.0,38543.0,119830.0,40570.0,,16.0,90.0
20,00:00.63,,52527.0,38521.0,119831.0,40640.0,,18.0,80.0
21,00:00.66,,52532.0,38511.0,119830.0,40634.0,,18.0,80.0
22,00:00.70,,52527.0,38500.0,119837.0,40504.0,,18.0,88.0
23,00:00.73,,52517.0,38482.0,119842.0,40339.0,,18.0,83.0
24,00:00.76,,52504.0,38463.0,119833.0,40172.0,,18.0,83.0
25,00:00.80,,52488.0,38459.0,119821.0,40172.0,,17.0,89.0
26,00:00.83,,52527.0,38415.0,119817.0,40986.0,,15.0,90.0
27,00:00.86,,52575.0,38377.0,119829.0,41093.0,,14.0,90.0
