"examName","seriesName","chartName","Event","Label","Begin","End","Answer","Statement"
"PF100618","1","1.01A","01","X","245","288","288","X"
"PF100618","1","1.01A","02","13","333","393","410","13"
"PF100618","1","1.01A","03","25","1217","1384","1405","25"
"PF100618","1","1.01A","04","39","2079","2359","2372","39"
"PF100618","1","1.01A","05","C46","2872","3084","3106","C46"
"PF100618","1","1.01A","06","MI","3308","3308","3308","MI"
"PF100618","1","1.01A","07","R33","3641","3817","3842","R33"
"PF100618","1","1.01A","08","C47","4434","4636","4655","C47"
"PF100618","1","1.01A","09","R35","5205","5361","5379","R35"
"PF100618","1","1.01A","10","C48","5978","6203","6266","C48"
"PF100618","1","1.01A","11","26","6750","6894","6986","26"
"PF100618","1","1.01A","12","XX","7524","7596","7596","XX"
"PF100618","1","1.02A","01","X","20","170","170","X"
"PF100618","1","1.02A","02","13","235","291","311","13"
"PF100618","1","1.02A","03","25","1005","1168","1188","25"
"PF100618","1","1.02A","04","39","1772","2042","2066","39"
"PF100618","1","1.02A","05","C46","2564","2759","2782","C46"
"PF100618","1","1.02A","06","DB","3186","3186","3186","DB"
"PF100618","1","1.02A","07","R35","3529","3692","3713","R35"
"PF100618","1","1.02A","08","C47","4297","4483","4504","C47"
"PF100618","1","1.02A","09","R33","5109","5286","5306","R33"
"PF100618","1","1.02A","10","C48","5886","6086","6108","C48"
"PF100618","1","1.02A","11","26","6673","6807","6865","26"
"PF100618","1","1.02A","12","XX","7441","7497","7497","XX"
"PF100618","1","1.03A","01","X","20","132","132","X"
"PF100618","1","1.03A","02","13","162","210","227","13"
"PF100618","1","1.03A","03","25","929","1087","1111","25"
"PF100618","1","1.03A","04","39","1695","1949","1965","39"
"PF100618","1","1.03A","05","C46","2472","2647","2672","C46"
"PF100618","1","1.03A","06","R33","3242","3412","3430","R33"
"PF100618","1","1.03A","07","C47","4010","4187","4206","C47"
"PF100618","1","1.03A","08","DB","4532","4532","4532","DB"
"PF100618","1","1.03A","09","R35","4946","5092","5109","R35"
"PF100618","1","1.03A","10","C48","5713","5899","5920","C48"
"PF100618","1","1.03A","11","26","6477","6601","6659","26"
"PF100618","1","1.03A","12","DB","6751","6751","6751","DB"
"PF100618","1","1.03A","13","XX","7260","7315","7315","XX"
