Sample,Time,Label,UPneumo,LPneumo,EDA1,Cardio1,Move1,ED,Aux01
1,00:00.00,,30171.0,37327.0,109101.0,37958.0,9.9,1.0,38979.0
2,00:00.03,,30123.0,37256.0,109092.0,37920.0,9.9,1.0,38940.0
3,00:00.06,,30069.0,37192.0,109095.0,37900.0,9.9,1.0,38896.0
4,00:00.10,,30008.0,37135.0,109096.0,37900.0,9.9,1.0,38880.0
5,00:00.13,,29960.0,37080.0,109095.0,38089.0,9.9,1.0,38889.0
6,00:00.16,,29912.0,37019.0,109103.0,38355.0,9.9,1.0,38947.0
7,00:00.20,,29887.0,36959.0,109101.0,38480.0,9.9,1.0,39002.0
8,00:00.23,,29876.0,36911.0,109099.0,38533.0,9.9,1.0,39034.0
9,00:00.26,X,29849.0,36868.0,109098.0,38565.0,9.9,1.0,39045.0
10,00:00.30,X,29815.0,36823.0,109099.0,38621.0,9.9,1.0,39042.0
11,00:00.33,X,29769.0,36777.0,109106.0,38650.0,9.9,2.0,39056.0
12,00:00.36,X,29753.0,36761.0,109111.0,38624.0,9.9,2.0,39082.0
13,00:00.40,X,29743.0,36740.0,109108.0,38586.0,9.9,3.0,39109.0
14,00:00.43,X,29727.0,36697.0,109099.0,38514.0,9.9,3.0,39114.0
15,00:00.46,X,29711.0,36676.0,109104.0,38458.0,9.9,3.0,39109.0
16,00:00.50,X,29700.0,36665.0,109104.0,38442.0,9.9,3.0,39104.0
17,00:00.53,X,29695.0,36660.0,109098.0,38410.0,9.9,4.0,39130.0
18,00:00.56,X,29684.0,36633.0,109101.0,38384.0,9.9,4.0,39176.0
19,00:00.60,X,29656.0,36616.0,109106.0,38348.0,9.9,5.0,39209.0
20,00:00.63,X,29653.0,36607.0,109101.0,38291.0,9.9,5.0,39216.0
21,00:00.66,X,29640.0,36591.0,109107.0,38252.0,9.9,5.0,39257.0
22,00:00.70,X,29631.0,36591.0,109110.0,38197.0,9.9,6.0,39312.0
23,00:00.73,X,29620.0,36585.0,109112.0,38202.0,9.9,7.0,39360.0
24,00:00.76,X,29615.0,36575.0,109112.0,38181.0,9.9,8.0,39392.0
25,00:00.80,X,29612.0,36572.0,109111.0,38133.0,9.9,9.0,39456.0
26,00:00.83,X,29615.0,36569.0,109116.0,38112.0,9.9,9.0,39520.0
27,00:00.86,X,29609.0,36569.0,109124.0,38074.0,9.9,10.0,39562.0
28,00:00.90,X,29599.0,36564.0,109125.0,38042.0,9.9,11.0,39605.0
29,00:00.93,X,29596.0,36559.0,109124.0,38021.0,9.9,13.0,39656.0
30,00:00.96,X,29588.0,36559.0,109136.0,37994.0,9.9,15.0,39696.0
31,00:01.00,X,29599.0,36559.0,109141.0,37957.0,9.9,17.0,39722.0
32,00:01.03,X,29583.0,36543.0,109145.0,37930.0,9.9,21.0,39749.0
33,00:01.06,X,29569.0,36543.0,109148.0,37914.0,9.9,24.0,39776.0
34,00:01.10,X,29561.0,36543.0,109149.0,37877.0,9.9,27.0,39813.0
35,00:01.13,X,29545.0,36548.0,109153.0,37930.0,9.9,30.0,39840.0
36,00:01.16,X,29540.0,36559.0,109156.0,38096.0,9.9,33.0,39872.0
37,00:01.19,X,29535.0,36556.0,109161.0,38362.0,9.9,37.0,39968.0
38,00:01.23,X,29540.0,36543.0,109173.0,38490.0,9.9,41.0,40074.0
39,00:01.26,X,29535.0,36521.0,109178.0,38554.0,9.9,45.0,40117.0
40,00:01.30,X,29529.0,36505.0,109177.0,38597.0,9.9,50.0,40133.0
41,00:01.33,X,29521.0,36495.0,109183.0,38656.0,9.9,54.0,40106.0
42,00:01.36,X,29519.0,36500.0,109189.0,38677.0,9.9,58.0,40085.0
43,00:01.39,X,29513.0,36495.0,109194.0,38650.0,9.9,63.0,40069.0
44,00:01.43,X,29519.0,36495.0,109198.0,38640.0,9.9,68.0,40048.0
45,00:01.46,X,29527.0,36481.0,109202.0,38528.0,9.9,72.0,39992.0
46,00:01.50,X,29535.0,36479.0,109209.0,38496.0,9.9,77.0,39920.0
47,00:01.53,X,29524.0,36479.0,109213.0,38485.0,9.9,81.0,39872.0
48,00:01.56,X,29529.0,36479.0,109215.0,38421.0,9.9,86.0,39856.0
49,00:01.60,X,29535.0,36476.0,109220.0,38402.0,9.9,91.0,39845.0
50,00:01.63,X,29529.0,36473.0,109225.0,38389.0,9.9,95.0,39824.0
51,00:01.66,X,29524.0,36473.0,109227.0,38341.0,9.9,100.0,39802.0
52,00:01.70,X,29519.0,36463.0,109231.0,38325.0,9.9,105.0,39786.0
53,00:01.73,X,29521.0,36471.0,109231.0,38280.0,9.9,109.0,39794.0
54,00:01.76,X,29519.0,36479.0,109223.0,38266.0,9.9,112.0,39813.0
55,00:01.80,X,29519.0,36479.0,109227.0,38234.0,9.9,115.0,39824.0
56,00:01.83,X,29519.0,36473.0,109232.0,38197.0,9.9,118.0,39834.0
57,00:01.86,X,29519.0,36471.0,109223.0,38152.0,9.9,121.0,39853.0
58,00:01.89,X,29522.0,36472.0,109222.0,38112.0,9.9,122.0,39897.0
59,00:01.93,X,29525.0,36479.0,109230.0,38073.0,9.9,125.0,39939.0
60,00:01.96,X,29525.0,36479.0,109231.0,38041.0,9.9,126.0,39980.0
61,00:02.00,X,29529.0,36479.0,109227.0,38021.0,9.9,128.0,40010.0
62,00:02.03,X,29524.0,36479.0,109221.0,37984.0,9.9,128.0,40021.0
63,00:02.06,X,29519.0,36479.0,109221.0,37957.0,9.9,129.0,40032.0
64,00:02.10,X,29519.0,36479.0,109224.0,37952.0,9.9,129.0,40026.0
65,00:02.13,X,29513.0,36479.0,109225.0,37930.0,9.9,129.0,40016.0
66,00:02.16,X,29506.0,36491.0,109227.0,37916.0,9.9,129.0,40035.0
67,00:02.20,X,29493.0,36495.0,109233.0,38083.0,9.9,129.0,40076.0
68,00:02.23,X,29487.0,36482.0,109228.0,38336.0,9.9,129.0,40156.0
69,00:02.26,X,29487.0,36479.0,109225.0,38469.0,9.9,129.0,40240.0
70,00:02.29,X,29497.0,36468.0,109223.0,38544.0,9.9,129.0,40277.0
71,00:02.33,X,29487.0,36457.0,109223.0,38565.0,9.9,128.0,40272.0
72,00:02.36,X,29479.0,36447.0,109225.0,38632.0,9.9,128.0,40232.0
73,00:02.39,X,29481.0,36457.0,109232.0,38672.0,9.9,129.0,40186.0
74,00:02.43,X,29471.0,36452.0,109235.0,38629.0,9.9,129.0,40170.0
75,00:02.46,X,29481.0,36447.0,109236.0,38608.0,9.9,130.0,40149.0
76,00:02.50,X,29487.0,36441.0,109241.0,38530.0,9.9,130.0,40074.0
77,00:02.53,X,29487.0,36441.0,109247.0,38496.0,9.9,132.0,39973.0
78,00:02.56,X,29487.0,36447.0,109251.0,38448.0,9.9,134.0,39925.0
79,00:02.60,X,29487.0,36441.0,109257.0,38416.0,9.9,136.0,39904.0
80,00:02.63,X,29500.0,36444.0,109259.0,38402.0,9.9,139.0,39898.0
81,00:02.66,X,29503.0,36436.0,109257.0,38373.0,9.9,141.0,39872.0
82,00:02.70,X,29487.0,36431.0,109263.0,38346.0,9.9,143.0,39840.0
83,00:02.73,X,29487.0,36431.0,109268.0,38341.0,9.9,145.0,39824.0
84,00:02.76,X,29487.0,36439.0,109269.0,38280.0,9.9,148.0,39834.0
85,00:02.79,X,29497.0,36447.0,109281.0,38250.0,9.9,152.0,39877.0
86,00:02.83,X,29492.0,36447.0,109286.0,38213.0,9.9,156.0,39898.0
87,00:02.86,X,29487.0,36447.0,109287.0,38213.0,9.9,160.0,39909.0
88,00:02.89,X,29497.0,36468.0,109291.0,38165.0,9.9,164.0,39965.0
89,00:02.93,X,29524.0,36484.0,109297.0,38122.0,9.9,169.0,40042.0
90,00:02.96,X,29556.0,36500.0,109299.0,38085.0,9.9,173.0,40101.0
91,00:03.00,X,29588.0,36516.0,109301.0,38069.0,9.9,177.0,40160.0
92,00:03.03,X,29641.0,36551.0,109304.0,38026.0,9.9,181.0,40250.0
93,00:03.06,X,29711.0,36607.0,109308.0,37977.0,9.9,184.0,40384.0
94,00:03.10,X,29791.0,36667.0,109312.0,37929.0,9.9,188.0,40489.0
95,00:03.13,X,29864.0,36725.0,109319.0,37900.0,9.9,192.0,40556.0
96,00:03.16,X,29932.0,36807.0,109331.0,37858.0,9.9,197.0,40634.0
97,00:03.20,X,29999.0,36889.0,109337.0,37992.0,9.9,202.0,40738.0
98,00:03.23,X,30063.0,36969.0,109343.0,38272.0,9.9,207.0,40914.0
99,00:03.26,X,30137.0,37033.0,109341.0,38418.0,9.9,212.0,41064.0
100,00:03.29,X,30191.0,37100.0,109347.0,38482.0,9.9,216.0,41050.0
101,00:03.33,X,30248.0,37176.0,109349.0,38502.0,9.9,220.0,41043.0
102,00:03.36,X,30309.0,37231.0,109352.0,38435.0,9.9,225.0,41059.0
103,00:03.39,X,30383.0,37282.0,109357.0,38364.0,9.9,229.0,41040.0
104,00:03.43,X,30447.0,37327.0,109362.0,38341.0,9.9,233.0,41002.0
105,00:03.46,X,30473.0,37364.0,109360.0,38304.0,9.9,237.0,40976.0
106,00:03.50,X,30511.0,37401.0,109360.0,38288.0,9.9,241.0,40992.0
107,00:03.53,X,30572.0,37455.0,109360.0,38240.0,9.9,245.0,41018.0
108,00:03.56,X,30617.0,37503.0,109354.0,38229.0,9.9,248.0,41040.0
109,00:03.60,X,30644.0,37545.0,109353.0,38176.0,9.9,251.0,41040.0
110,00:03.63,X,30671.0,37588.0,109350.0,38165.0,9.9,253.0,41034.0
111,00:03.66,X,30721.0,37649.0,109351.0,38125.0,9.9,254.0,41040.0
112,00:03.70,X,30756.0,37700.0,109357.0,38090.0,9.9,256.0,41034.0
113,00:03.73,X,30767.0,37716.0,109362.0,38069.0,9.9,257.0,41013.0
114,00:03.76,X,30788.0,37727.0,109363.0,38042.0,9.9,258.0,40997.0
115,00:03.79,X,30809.0,37753.0,109366.0,38013.0,9.9,260.0,40938.0
116,00:03.83,X,30825.0,37769.0,109370.0,37968.0,9.9,261.0,40880.0
117,00:03.86,X,30831.0,37769.0,109370.0,37952.0,9.9,262.0,40842.0
118,00:03.89,X,30831.0,37764.0,109369.0,37930.0,9.9,263.0,40794.0
119,00:03.93,X,30825.0,37753.0,109367.0,37896.0,9.9,263.0,40706.0
120,00:03.96,X,30809.0,37732.0,109373.0,37898.0,9.9,264.0,40640.0
121,00:04.00,X,30804.0,37721.0,109378.0,37872.0,9.9,265.0,40592.0
122,00:04.03,X,30788.0,37711.0,109377.0,37872.0,9.9,267.0,40528.0
123,00:04.06,X,30753.0,37695.0,109373.0,37848.0,9.9,268.0,40416.0
124,00:04.09,X,30708.0,37679.0,109378.0,37829.0,9.9,269.0,40293.0
125,00:04.13,X,30687.0,37668.0,109387.0,37834.0,9.9,272.0,40224.0
126,00:04.16,X,30660.0,37641.0,109386.0,37946.0,9.9,274.0,40170.0
127,00:04.20,X,30620.0,37612.0,109384.0,38200.0,9.9,276.0,40144.0
128,00:04.23,X,30575.0,37567.0,109387.0,38362.0,9.9,278.0,40144.0
129,00:04.26,X,30548.0,37529.0,109388.0,38442.0,9.9,279.0,40090.0
130,00:04.29,X,30516.0,37497.0,109392.0,38474.0,9.9,281.0,40016.0
131,00:04.33,X,30465.0,37460.0,109394.0,38533.0,9.9,283.0,39874.0
132,00:04.36,X,30420.0,37423.0,109398.0,38570.0,9.9,285.0,39765.0
133,00:04.40,X,30393.0,37391.0,109400.0,38570.0,9.9,287.0,39728.0
134,00:04.43,X,30367.0,37364.0,109397.0,38549.0,9.9,289.0,39685.0
135,00:04.46,X,30319.0,37316.0,109393.0,38461.0,9.9,290.0,39589.0
136,00:04.50,X,30271.0,37269.0,109395.0,38438.0,9.9,291.0,39443.0
137,00:04.53,X,30226.0,37240.0,109398.0,38403.0,9.9,293.0,39372.0
138,00:04.56,X,30187.0,37195.0,109401.0,38390.0,9.9,294.0,39344.0
139,00:04.59,X,30148.0,37161.0,109402.0,38336.0,9.9,296.0,39306.0
140,00:04.63,X,30121.0,37140.0,109402.0,38314.0,9.9,297.0,39274.0
141,00:04.66,X,30100.0,37113.0,109398.0,38293.0,9.9,298.0,39242.0
142,00:04.70,X,30071.0,37079.0,109394.0,38274.0,9.9,298.0,39232.0
143,00:04.73,X,30036.0,37044.0,109398.0,38229.0,9.9,299.0,39258.0
144,00:04.76,X,30020.0,37017.0,109401.0,38224.0,9.9,300.0,39264.0
145,00:04.79,X,29999.0,36980.0,109399.0,38202.0,9.9,301.0,39258.0
146,00:04.83,X,29972.0,36943.0,109393.0,38165.0,9.9,300.0,39250.0
147,00:04.86,X,29951.0,36905.0,109391.0,38138.0,9.9,300.0,39258.0
148,00:04.90,X,29929.0,36879.0,109391.0,38112.0,9.9,299.0,39269.0
149,00:04.93,X,29908.0,36857.0,109393.0,38090.0,9.9,299.0,39290.0
150,00:04.96,X,29887.0,36836.0,109388.0,38090.0,9.9,299.0,39304.0
151,00:05.00,X,29860.0,36815.0,109387.0,38053.0,9.9,298.0,39322.0
152,00:05.03,X,29844.0,36809.0,109389.0,38026.0,9.9,298.0,39349.0
153,00:05.06,X,29828.0,36793.0,109384.0,38021.0,9.9,297.0,39370.0
154,00:05.09,X,29801.0,36764.0,109381.0,37989.0,9.9,295.0,39394.0
155,00:05.13,X,29769.0,36751.0,109381.0,37957.0,9.9,294.0,39434.0
156,00:05.16,X,29759.0,36751.0,109378.0,37973.0,9.9,292.0,39472.0
157,00:05.20,X,29737.0,36751.0,109372.0,38074.0,9.9,291.0,39504.0
158,00:05.23,X,29703.0,36727.0,109360.0,38333.0,9.9,288.0,39597.0
159,00:05.26,X,29684.0,36697.0,109357.0,38485.0,9.9,285.0,39717.0
160,00:05.29,X,29679.0,36681.0,109363.0,38560.0,9.9,283.0,39776.0
161,00:05.33,X,29673.0,36655.0,109362.0,38618.0,9.9,281.0,39802.0
162,00:05.36,X,29652.0,36625.0,109355.0,38682.0,9.9,279.0,39794.0
163,00:05.40,X,29631.0,36617.0,109347.0,38725.0,9.9,276.0,39770.0
164,00:05.43,X,29625.0,36612.0,109344.0,38725.0,9.9,272.0,39760.0
165,00:05.46,X,29615.0,36601.0,109343.0,38688.0,9.9,269.0,39760.0
166,00:05.50,X,29615.0,36585.0,109341.0,38616.0,9.9,266.0,39722.0
167,00:05.53,X,29615.0,36575.0,109331.0,38581.0,9.9,262.0,39664.0
168,00:05.56,X,29615.0,36564.0,109329.0,38538.0,9.9,259.0,39626.0
169,00:05.59,X,29615.0,36564.0,109329.0,38544.0,9.9,255.0,39600.0
170,00:05.63,X,29615.0,36564.0,109327.0,38514.0,9.9,252.0,39600.0
171,00:05.66,X,29604.0,36553.0,109322.0,38485.0,9.9,248.0,39594.0
172,00:05.70,X,29599.0,36543.0,109316.0,38442.0,9.9,244.0,39573.0
173,00:05.73,X,29593.0,36543.0,109315.0,38437.0,9.9,241.0,39568.0
